age,income,employment_type,credit_score,loan_amount,existing_emi,loan_term,years_of_experience,marital_status,education,dependents,debt_to_income,loan_to_income,emi_to_income,default
64,84271,Self-Employed,734.0,56895,2502.0,84,7.0,Single,Master,5,0.3563,0.6751,0.3563,0
50,39119,Salaried,651.0,81011,,12,5.0,Divorced,Master,0,0.2564,2.0709,0.2564,0
58,18628,Freelancer,538.0,83585,484.0,36,0.0,Married,Master,5,0.3118,4.4871,0.3118,0
22,57851,Salaried,583.0,191522,1500.0,24,4.0,Married,Bachelor,0,0.3111,3.3106,0.3111,0
41,50558,Business,718.0,144902,51.0,12,2.0,Single,Bachelor,1,0.0121,2.8661,0.0121,0
53,26113,Self-Employed,572.0,30080,441.0,84,16.0,Single,Bachelor,0,0.2027,1.1519,0.2027,0
32,68029,Salaried,754.0,206176,536.0,48,8.0,Married,Bachelor,4,0.0945,3.0307,0.0945,0
42,87465,Self-Employed,605.0,174278,3840.0,12,15.0,Married,High School,2,0.5268,1.9925,0.5268,0
64,19051,Freelancer,772.0,82025,543.0,60,8.0,Single,Bachelor,2,0.342,4.3055,0.342,0
45,37234,Self-Employed,566.0,94641,788.0,84,17.0,Single,Bachelor,5,0.254,2.5418,0.254,0
47,115385,Self-Employed,581.0,301141,3794.0,84,9.0,Single,High School,2,0.3946,2.6099,0.3946,0
62,26320,Salaried,827.0,114437,262.0,60,9.0,Widowed,High School,2,0.1195,4.3479,0.1195,0
48,76598,Business,548.0,239996,1104.0,120,17.0,Married,Bachelor,0,0.173,3.1332,0.173,0
36,53424,Freelancer,644.0,46219,712.0,12,4.0,Divorced,High School,3,0.1599,0.8651,0.1599,0
35,69481,Business,620.0,79787,2095.0,48,4.0,Single,High School,5,0.3618,1.1483,0.3618,0
64,46053,Business,503.0,196745,1169.0,24,8.0,Widowed,High School,4,0.3046,4.2721,0.3046,0
23,46101,Salaried,612.0,170073,1203.0,24,22.0,Single,Bachelor,0,0.3131,3.6891,0.3131,0
57,120963,Business,721.0,388308,5847.0,60,6.0,Married,Bachelor,0,0.58,3.2101,0.58,0
27,61743,Salaried,535.0,289440,522.0,48,9.0,Divorced,Bachelor,1,0.1015,4.6878,0.1015,0
41,126423,Business,582.0,503539,1389.0,120,12.0,Single,High School,1,0.1318,3.983,0.1318,0
29,42799,Salaried,619.0,171151,1235.0,12,15.0,Married,Bachelor,1,0.3463,3.9989,0.3463,0
59,61842,Salaried,650.0,272524,1577.0,84,12.0,Single,Bachelor,2,0.306,4.4068,0.306,0
38,48127,Self-Employed,437.0,151375,1090.0,84,15.0,Single,Bachelor,3,0.2718,3.1453,0.2718,0
24,103233,Business,586.0,401069,2295.0,120,11.0,Married,Bachelor,4,0.2668,3.8851,0.2668,0
45,19540,Freelancer,684.0,13980,608.0,60,,Married,Bachelor,0,0.3734,0.7155,0.3734,0
34,29924,Salaried,782.0,108308,1179.0,24,2.0,Married,Bachelor,1,0.4728,3.6194,0.4728,0
29,79292,Salaried,816.0,350074,1505.0,12,5.0,Married,Bachelor,1,0.2278,4.415,0.2278,0
46,16279,Unemployed,692.0,76483,410.0,24,6.0,Married,High School,1,0.3022,4.6983,0.3022,0
22,80386,Salaried,618.0,89712,2944.0,48,9.0,Single,Bachelor,1,0.4395,1.116,0.4395,0
40,59640,Self-Employed,678.0,297872,1271.0,84,10.0,Single,Bachelor,1,0.2557,4.9945,0.2557,0
48,19635,Unemployed,615.0,66008,226.0,60,17.0,Widowed,Bachelor,4,0.1381,3.3618,0.1381,0
27,44030,Freelancer,693.0,75797,371.0,120,0.0,Single,Bachelor,1,0.1011,1.7215,0.1011,0
64,59830,Salaried,520.0,106641,207.0,36,7.0,Married,Master,2,0.0415,1.7824,0.0415,0
28,60208,Self-Employed,630.0,225782,2109.0,48,17.0,Single,Master,2,0.4203,3.75,0.4203,0
55,43910,Self-Employed,756.0,79100,601.0,60,1.0,Married,Bachelor,2,0.1642,1.8014,0.1642,0
34,55880,Salaried,716.0,132770,1493.0,36,4.0,Married,Bachelor,2,0.3206,2.376,0.3206,0
37,65459,Salaried,645.0,285687,2104.0,48,10.0,Single,High School,3,0.3857,4.3644,0.3857,0
56,96344,Business,,182568,3465.0,84,12.0,Single,Bachelor,2,0.4316,1.895,0.4316,0
60,63667,Salaried,571.0,296652,129.0,48,1.0,Married,Bachelor,3,0.0243,4.6594,0.0243,0
24,77689,Self-Employed,639.0,269018,1062.0,12,15.0,Married,Bachelor,1,0.164,3.4628,0.164,0
22,50709,Self-Employed,395.0,63045,714.0,24,,Single,High School,0,0.169,1.2433,0.169,0
26,64275,Salaried,609.0,103449,1489.0,12,1.0,Married,High School,3,0.278,1.6095,0.278,0
62,47278,Salaried,630.0,104036,,12,13.0,Single,High School,1,0.2868,2.2005,0.2868,0
24,197997,Business,615.0,903171,2258.0,60,13.0,Divorced,High School,2,0.1369,4.5615,0.1369,0
49,93278,Salaried,599.0,283883,823.0,84,7.0,Married,High School,2,0.1059,3.0434,0.1059,0
38,62347,Business,560.0,43906,2609.0,24,5.0,Single,Bachelor,1,0.5022,0.7042,0.5022,0
46,54598,Salaried,503.0,193424,1359.0,36,2.0,Married,High School,2,0.2987,3.5427,0.2987,0
64,74972,Salaried,664.0,104682,556.0,60,5.0,Married,Bachelor,3,0.089,1.3963,0.089,0
54,54809,Salaried,740.0,59788,1281.0,48,13.0,Single,Master,3,0.2805,1.0908,0.2805,0
30,71370,Salaried,542.0,151967,2905.0,12,0.0,Married,High School,2,0.4884,2.1293,0.4884,0
56,81502,Salaried,492.0,340568,1306.0,24,3.0,Single,Master,3,0.1923,4.1786,0.1923,0
34,10000,Self-Employed,744.0,49569,89.0,24,9.0,Single,Bachelor,3,0.1068,4.9569,0.1068,0
51,69219,Salaried,578.0,330585,2637.0,60,11.0,Single,Bachelor,2,0.4572,4.7759,0.4572,0
35,71102,Salaried,404.0,68323,97.0,60,11.0,Married,High School,1,0.0164,0.9609,0.0164,0
28,43174,Salaried,493.0,114943,1229.0,12,4.0,Single,High School,0,0.3416,2.6623,0.3416,0
34,90279,Self-Employed,606.0,187498,3212.0,120,7.0,Married,Bachelor,1,0.4269,2.0769,0.4269,0
43,28482,Self-Employed,742.0,31341,656.0,24,5.0,Married,High School,0,0.2764,1.1004,0.2764,0
60,68720,Salaried,652.0,91860,88.0,48,9.0,Married,High School,0,0.0154,1.3367,0.0154,0
41,106618,Self-Employed,591.0,310736,4467.0,84,10.0,Married,High School,4,0.5028,2.9145,0.5028,0
36,84204,Self-Employed,578.0,133908,2965.0,84,7.0,Divorced,Bachelor,2,0.4225,1.5903,0.4225,0
38,30261,Salaried,528.0,49005,57.0,60,8.0,Married,High School,3,0.0226,1.6194,0.0226,0
44,74088,Business,731.0,241064,1643.0,120,7.0,Married,Master,2,0.2661,3.2538,0.2661,0
46,50609,Salaried,620.0,62525,818.0,120,0.0,Single,High School,1,0.194,1.2355,0.194,0
45,79568,Salaried,835.0,179942,3757.0,48,14.0,Divorced,Master,0,0.5666,2.2615,0.5666,0
61,68470,Business,799.0,103948,1606.0,84,13.0,Single,High School,4,0.2815,1.5182,0.2815,0
49,57921,Salaried,823.0,133284,353.0,24,0.0,Single,Bachelor,0,0.0731,2.3011,0.0731,0
35,35403,Salaried,643.0,62278,1.0,12,18.0,Married,Bachelor,2,0.0003,1.7591,0.0003,0
21,52993,Freelancer,743.0,178331,1442.0,120,10.0,Single,Bachelor,0,0.3265,3.3652,0.3265,0
45,52580,Self-Employed,606.0,84251,738.0,24,10.0,Single,High School,1,0.1684,1.6023,0.1684,0
27,28065,Salaried,749.0,43296,,12,5.0,Married,Bachelor,0,0.186,1.5427,0.186,0
29,62928,Business,645.0,60243,2652.0,12,8.0,Married,High School,2,0.5057,0.9573,0.5057,0
44,42024,Salaried,694.0,43794,579.0,60,10.0,Married,Bachelor,3,0.1653,1.0421,0.1653,0
21,88762,Salaried,476.0,372765,2401.0,84,17.0,Divorced,High School,2,0.3246,4.1996,0.3246,0
64,65380,Salaried,784.0,251107,1600.0,36,2.0,Single,Bachelor,2,0.2937,3.8407,0.2937,0
28,112857,Business,498.0,123007,1767.0,84,13.0,Single,High School,4,0.1879,1.0899,0.1879,0
44,21794,Salaried,608.0,83490,640.0,48,5.0,Married,High School,2,0.3524,3.8309,0.3524,0
31,84143,Business,658.0,214171,2717.0,60,15.0,Single,Bachelor,3,0.3875,2.5453,0.3875,0
37,45547,Salaried,541.0,89600,610.0,12,0.0,Married,PhD,1,0.1607,1.9672,0.1607,0
28,80868,Self-Employed,432.0,217474,937.0,36,7.0,Single,Bachelor,3,0.139,2.6892,0.139,0
55,66248,Salaried,683.0,90579,1003.0,120,0.0,Married,Bachelor,2,0.1817,1.3673,0.1817,0
55,54250,Salaried,710.0,78728,796.0,12,4.0,Married,Bachelor,0,0.1761,1.4512,0.1761,0
53,120368,Business,696.0,343928,1440.0,24,5.0,Married,Bachelor,0,0.1436,2.8573,0.1436,0
25,116902,Salaried,505.0,439852,5686.0,24,10.0,Married,High School,0,0.5837,3.7626,0.5837,0
62,87911,Self-Employed,737.0,356317,1559.0,120,0.0,Married,High School,1,0.2128,4.0532,0.2128,0
59,19590,Salaried,631.0,93736,5.0,60,16.0,Single,Master,3,0.0031,4.7849,0.0031,0
61,123429,Business,683.0,236843,4220.0,120,,Single,Bachelor,2,0.4103,1.9189,0.4103,0
48,108049,Salaried,555.0,249532,1272.0,84,8.0,Single,Bachelor,4,0.1413,2.3094,0.1413,0
27,121168,Self-Employed,658.0,502680,2439.0,84,1.0,Married,Bachelor,2,0.2415,4.1486,0.2415,0
29,86238,Business,460.0,213718,3066.0,60,0.0,Married,Bachelor,2,0.4266,2.4782,0.4266,0
28,51059,Salaried,591.0,225279,1228.0,12,8.0,Married,Bachelor,1,0.2886,4.4121,0.2886,0
32,76256,Salaried,471.0,185781,2720.0,60,4.0,Single,Bachelor,2,0.428,2.4363,0.428,0
54,78730,Business,635.0,104545,3686.0,60,14.0,Married,High School,2,0.5618,1.3279,0.5618,0
53,56918,Salaried,640.0,68923,125.0,84,6.0,Divorced,Bachelor,3,0.0264,1.2109,0.0264,0
43,100324,Business,742.0,406065,439.0,24,10.0,Single,Bachelor,2,0.0525,4.0475,0.0525,0
44,71792,Salaried,680.0,210582,1348.0,24,7.0,Single,PhD,2,0.2253,2.9332,0.2253,0
57,76179,Salaried,510.0,241847,517.0,36,5.0,Single,Bachelor,0,0.0814,3.1747,0.0814,0
55,86494,Salaried,850.0,271955,2542.0,60,4.0,Married,Bachelor,2,0.3527,3.1442,0.3527,0
64,80247,Salaried,649.0,234797,3887.0,24,2.0,Married,High School,3,0.5813,2.9259,0.5813,0
60,88387,Salaried,602.0,55665,3155.0,24,6.0,Single,High School,2,0.4283,0.6298,0.4283,0
42,92510,Salaried,579.0,207388,3319.0,24,8.0,Married,Master,0,0.4305,2.2418,0.4305,0
47,32050,Salaried,698.0,97064,433.0,120,9.0,Single,Bachelor,1,0.1621,3.0285,0.1621,0
55,44420,Salaried,640.0,203954,1304.0,84,8.0,Married,Bachelor,1,0.3523,4.5915,0.3523,0
21,41712,Salaried,809.0,71232,1306.0,36,7.0,Married,Bachelor,2,0.3757,1.7077,0.3757,0
55,63285,Salaried,592.0,71157,2858.0,60,0.0,Married,High School,1,0.5419,1.1244,0.5419,0
57,47335,Salaried,693.0,139484,1615.0,48,13.0,Single,Bachelor,3,0.4094,2.9467,0.4094,0
34,52357,Salaried,624.0,98995,1814.0,84,0.0,Divorced,High School,1,0.4158,1.8908,0.4158,0
23,124002,Business,510.0,445254,713.0,120,10.0,Married,Master,0,0.069,3.5907,0.069,0
21,96316,Self-Employed,670.0,301081,3229.0,24,14.0,Single,Bachelor,3,0.4023,3.126,0.4023,0
25,51230,Freelancer,649.0,163733,2244.0,12,13.0,Single,High School,2,0.5256,3.196,0.5256,0
46,75780,Salaried,647.0,232931,1038.0,12,11.0,Married,Master,3,0.1644,3.0738,0.1644,0
34,65779,Salaried,680.0,320832,181.0,48,8.0,Divorced,PhD,1,0.033,4.8774,0.033,0
59,65850,Salaried,728.0,216069,1014.0,24,3.0,Divorced,High School,0,0.1848,3.2812,0.1848,0
47,73375,Salaried,544.0,210398,1056.0,120,1.0,Married,Master,0,0.1727,2.8674,0.1727,0
29,65471,Freelancer,588.0,40104,343.0,84,8.0,Divorced,Master,0,0.0629,0.6125,0.0629,0
35,42123,Salaried,565.0,44051,794.0,48,,Single,Bachelor,3,0.2262,1.0458,0.2262,0
35,39617,Salaried,716.0,173257,1635.0,60,5.0,Single,PhD,1,0.4952,4.3733,0.4952,0
46,60651,Salaried,655.0,291275,2697.0,12,11.0,Divorced,Bachelor,5,0.5336,4.8025,0.5336,0
62,73045,Freelancer,,48801,3036.0,24,7.0,Married,Bachelor,3,0.4988,0.6681,0.4988,0
33,58450,Self-Employed,713.0,57763,2754.0,60,4.0,Married,Master,2,0.5654,0.9882,0.5654,0
52,41301,Salaried,765.0,181210,1916.0,60,22.0,Married,Bachelor,5,0.5567,4.3875,0.5567,0
59,74089,Freelancer,644.0,108132,675.0,60,,Widowed,Bachelor,1,0.1093,1.4595,0.1093,0
52,103706,Freelancer,721.0,81006,223.0,84,11.0,Married,Bachelor,0,0.0258,0.7811,0.0258,0
24,36435,Salaried,735.0,159692,280.0,48,11.0,Divorced,Master,2,0.0922,4.3829,0.0922,0
50,66081,Salaried,681.0,263668,1477.0,60,5.0,Married,Bachelor,1,0.2682,3.9901,0.2682,0
57,42267,Salaried,588.0,139899,1798.0,36,4.0,Single,Bachelor,4,0.5105,3.3099,0.5105,0
43,27668,Self-Employed,,24730,716.0,120,0.0,Divorced,Bachelor,5,0.3105,0.8938,0.3105,0
59,67324,Salaried,683.0,224908,3028.0,120,9.0,Single,High School,4,0.5397,3.3407,0.5397,0
35,131615,Business,679.0,185387,447.0,84,8.0,Divorced,High School,4,0.0408,1.4086,0.0408,0
63,77464,Salaried,528.0,313119,3621.0,36,1.0,Married,Bachelor,2,0.5609,4.0421,0.5609,0
49,15661,Business,519.0,54922,691.0,48,14.0,Married,Bachelor,2,0.5295,3.5069,0.5295,0
56,33052,Self-Employed,558.0,123672,1119.0,120,11.0,Married,Master,0,0.4063,3.7417,0.4063,0
33,84588,Business,670.0,209907,890.0,48,8.0,Single,Bachelor,3,0.1263,2.4815,0.1263,0
52,37817,Salaried,789.0,83798,1775.0,120,6.0,Single,Master,0,0.5632,2.2159,0.5632,0
27,77565,Freelancer,610.0,137480,844.0,12,6.0,Widowed,High School,3,0.1306,1.7724,0.1306,0
42,90506,Self-Employed,717.0,431060,4275.0,24,2.0,Widowed,PhD,4,0.5668,4.7628,0.5668,0
48,63421,Self-Employed,788.0,63270,2965.0,48,4.0,Single,High School,0,0.561,0.9976,0.561,0
22,20984,Salaried,708.0,49778,850.0,36,11.0,Widowed,Bachelor,0,0.4861,2.3722,0.4861,0
62,35948,Freelancer,445.0,146259,1595.0,84,7.0,Divorced,Bachelor,1,0.5324,4.0686,0.5324,0
26,54299,Salaried,688.0,174874,1474.0,24,18.0,Married,Bachelor,3,0.3258,3.2206,0.3258,0
48,104175,Business,707.0,480531,3711.0,48,4.0,Single,High School,3,0.4275,4.6127,0.4275,0
48,60337,Salaried,595.0,234327,65.0,60,,Divorced,High School,2,0.0129,3.8836,0.0129,0
64,125084,Business,764.0,350911,114.0,48,10.0,Married,Bachelor,3,0.0109,2.8054,0.0109,0
64,60539,Freelancer,583.0,254839,2826.0,84,11.0,Divorced,Bachelor,0,0.5602,4.2095,0.5602,0
40,40590,Salaried,697.0,186824,561.0,36,6.0,Divorced,PhD,2,0.1659,4.6027,0.1659,0
50,50180,Self-Employed,574.0,165321,2059.0,24,,Divorced,Bachelor,2,0.4924,3.2946,0.4924,0
31,77635,Salaried,554.0,118533,1556.0,60,6.0,Married,PhD,0,0.2405,1.5268,0.2405,0
48,40346,Salaried,801.0,150501,1643.0,60,10.0,Single,High School,1,0.4887,3.7303,0.4887,0
45,61945,Self-Employed,640.0,53614,,36,6.0,Single,High School,3,0.0761,0.8655,0.0761,0
59,60424,Salaried,599.0,171782,514.0,84,20.0,Single,Bachelor,5,0.1021,2.8429,0.1021,0
53,69566,Salaried,584.0,62011,2256.0,60,6.0,Single,Master,2,0.3892,0.8914,0.3892,0
21,85357,Salaried,658.0,56853,0.0,120,9.0,Married,Bachelor,4,0.0,0.6661,0.0,0
47,42461,Salaried,620.0,73684,,120,8.0,Married,High School,0,0.2131,1.7353,0.2131,0
33,60039,Self-Employed,540.0,247850,249.0,36,6.0,Divorced,High School,5,0.0498,4.1282,0.0498,0
61,64132,Salaried,587.0,229191,839.0,48,12.0,Single,Bachelor,0,0.157,3.5737,0.157,0
23,105487,Business,585.0,90669,4384.0,36,2.0,Married,Bachelor,2,0.4987,0.8595,0.4987,0
59,48287,Salaried,627.0,103961,2247.0,120,19.0,Single,Bachelor,1,0.5584,2.153,0.5584,0
26,73117,Salaried,746.0,287206,1586.0,120,4.0,Single,Bachelor,3,0.2603,3.928,0.2603,0
28,47985,Salaried,611.0,97561,1969.0,84,10.0,Single,Bachelor,0,0.4924,2.0332,0.4924,0
47,62387,Salaried,750.0,297438,48.0,36,9.0,Married,Master,0,0.0092,4.7676,0.0092,0
29,33761,Salaried,,166939,1303.0,48,7.0,Single,Bachelor,1,0.4631,4.9447,0.4631,0
57,68384,Salaried,660.0,41344,3309.0,12,14.0,Married,Bachelor,0,0.5807,0.6046,0.5807,0
53,70199,Salaried,480.0,178663,2383.0,60,17.0,Single,PhD,1,0.4074,2.5451,0.4074,0
62,63992,Salaried,714.0,182649,2421.0,36,4.0,Divorced,Bachelor,2,0.454,2.8542,0.454,0
64,22435,Salaried,452.0,104826,915.0,84,4.0,Divorced,Bachelor,1,0.4894,4.6724,0.4894,0
44,59296,Self-Employed,635.0,135063,1076.0,84,10.0,Widowed,Master,0,0.2178,2.2778,0.2178,0
35,77372,Business,818.0,65584,389.0,48,7.0,Divorced,High School,0,0.0603,0.8476,0.0603,0
52,44124,Salaried,772.0,93607,948.0,84,5.0,Divorced,Bachelor,0,0.2578,2.1215,0.2578,0
52,84102,Salaried,673.0,230253,156.0,36,6.0,Divorced,High School,2,0.0223,2.7378,0.0223,0
44,105519,Salaried,676.0,145202,3577.0,120,5.0,Married,High School,2,0.4068,1.3761,0.4068,0
61,24990,Business,431.0,57265,1082.0,36,2.0,Single,High School,1,0.5196,2.2915,0.5196,0
32,85612,Self-Employed,757.0,65235,3732.0,12,9.0,Single,High School,0,0.5231,0.762,0.5231,0
59,56904,Salaried,701.0,270519,,60,8.0,Single,Bachelor,2,0.5124,4.754,0.5124,0
22,68918,Salaried,522.0,225122,1248.0,48,5.0,Married,Master,2,0.2173,3.2665,0.2173,0
23,18854,Unemployed,596.0,88343,573.0,24,0.0,Married,Bachelor,1,0.3647,4.6856,0.3647,0
57,56292,Salaried,655.0,220909,1086.0,120,6.0,Divorced,Bachelor,1,0.2315,3.9243,0.2315,0
37,50773,Salaried,721.0,138836,53.0,48,17.0,Widowed,Bachelor,0,0.0125,2.7344,0.0125,0
22,70289,Salaried,693.0,125488,1227.0,48,6.0,Married,Master,0,0.2095,1.7853,0.2095,0
22,29750,Salaried,413.0,93583,1369.0,36,6.0,Married,Master,1,0.5522,3.1456,0.5522,0
48,45985,Salaried,567.0,120019,1144.0,60,5.0,Widowed,Master,0,0.2985,2.61,0.2985,0
43,61634,Salaried,721.0,32961,2158.0,12,11.0,Single,Master,1,0.4202,0.5348,0.4202,0
57,66417,Business,657.0,223538,2704.0,120,13.0,Married,High School,2,0.4885,3.3657,0.4885,0
52,84580,Salaried,557.0,364605,296.0,36,4.0,Single,Bachelor,4,0.042,4.3108,0.042,0
53,96283,Freelancer,666.0,435612,1735.0,120,0.0,Married,Bachelor,2,0.2162,4.5243,0.2162,0
21,38520,Salaried,691.0,142543,1889.0,36,6.0,Single,Bachelor,2,0.5885,3.7005,0.5885,0
39,55867,Self-Employed,647.0,143035,59.0,60,5.0,Divorced,Bachelor,1,0.0127,2.5603,0.0127,0
22,75698,Salaried,636.0,179165,3740.0,84,6.0,Married,High School,0,0.5929,2.3668,0.5929,0
64,66123,Salaried,526.0,164126,2602.0,36,13.0,Single,High School,1,0.4722,2.4821,0.4722,0
46,77619,Freelancer,552.0,340938,436.0,12,2.0,Single,Master,2,0.0674,4.3925,0.0674,0
52,56998,Salaried,791.0,161723,1512.0,48,10.0,Married,Bachelor,2,0.3183,2.8373,0.3183,0
26,36758,Freelancer,578.0,30621,1729.0,12,10.0,Widowed,High School,3,0.5644,0.833,0.5644,0
52,14946,Self-Employed,716.0,38907,592.0,12,10.0,Married,High School,1,0.4753,2.6032,0.4753,0
24,42596,Self-Employed,622.0,175647,1667.0,120,11.0,Married,Bachelor,0,0.4696,4.1236,0.4696,0
31,64109,Salaried,584.0,103763,2361.0,84,0.0,Single,Bachelor,2,0.4419,1.6185,0.4419,0
37,40655,Business,690.0,151183,,48,11.0,Married,Bachelor,2,0.0248,3.7187,0.0248,0
58,59345,Salaried,719.0,93243,1782.0,24,7.0,Married,High School,0,0.3603,1.5712,0.3603,0
44,13374,Unemployed,376.0,46339,203.0,24,4.0,Married,High School,2,0.1821,3.4649,0.1821,0
25,108905,Business,658.0,305632,1054.0,24,16.0,Single,Bachelor,1,0.1161,2.8064,0.1161,0
54,61543,Salaried,534.0,163429,1156.0,36,12.0,Married,Bachelor,2,0.2254,2.6555,0.2254,0
26,33050,Freelancer,645.0,118886,1301.0,120,3.0,Married,High School,1,0.4724,3.5972,0.4724,0
42,75689,Salaried,650.0,201469,479.0,120,5.0,Widowed,Bachelor,2,0.0759,2.6618,0.0759,0
31,14306,Unemployed,508.0,51280,229.0,60,13.0,Divorced,Bachelor,3,0.1921,3.5845,0.1921,0
36,103215,Business,667.0,490102,1825.0,84,7.0,Married,Master,5,0.2122,4.7484,0.2122,0
53,43219,Salaried,565.0,79597,271.0,120,1.0,Married,High School,4,0.0752,1.8417,0.0752,0
29,47197,Self-Employed,800.0,29414,321.0,36,16.0,Single,Bachelor,2,0.0816,0.6232,0.0816,0
26,130408,Business,783.0,380990,1409.0,84,6.0,Divorced,PhD,1,0.1297,2.9215,0.1297,0
36,39888,Self-Employed,595.0,70389,1256.0,36,8.0,Married,Master,1,0.3779,1.7647,0.3779,0
49,74460,Salaried,667.0,214117,1571.0,12,10.0,Single,Master,0,0.2532,2.8756,0.2532,0
23,57804,Salaried,636.0,190847,2885.0,120,3.0,Married,Bachelor,0,0.5989,3.3016,0.5989,0
40,20166,Salaried,650.0,62046,159.0,84,14.0,Divorced,High School,0,0.0946,3.0768,0.0946,0
56,56961,Freelancer,578.0,193112,205.0,24,3.0,Single,Bachelor,2,0.0432,3.3902,0.0432,0
39,83236,Salaried,726.0,186813,4018.0,12,9.0,Married,Bachelor,1,0.5793,2.2444,0.5793,0
46,24648,Unemployed,525.0,69729,842.0,36,5.0,Married,Bachelor,0,0.4099,2.829,0.4099,0
23,54349,Salaried,850.0,142130,427.0,36,13.0,Single,Bachelor,2,0.0943,2.6151,0.0943,0
39,65070,Salaried,850.0,101582,2590.0,48,10.0,Single,Bachelor,2,0.4776,1.5611,0.4776,0
40,83246,Salaried,747.0,224401,1655.0,12,7.0,Divorced,PhD,2,0.2386,2.6956,0.2386,0
52,39598,Freelancer,659.0,174604,1426.0,12,0.0,Divorced,High School,2,0.4321,4.4094,0.4321,0
27,47630,Salaried,656.0,93520,928.0,36,9.0,Single,High School,0,0.2338,1.9635,0.2338,0
61,47339,Salaried,583.0,159251,1530.0,12,8.0,Divorced,Bachelor,0,0.3878,3.3641,0.3878,0
53,184524,Business,665.0,186027,6435.0,84,0.0,Married,High School,3,0.4185,1.0081,0.4185,0
60,54822,Business,633.0,38067,122.0,120,9.0,Married,Bachelor,0,0.0267,0.6944,0.0267,0
59,77781,Business,682.0,382867,738.0,60,11.0,Married,High School,2,0.1139,4.9224,0.1139,0
38,65450,Freelancer,518.0,120065,1916.0,84,8.0,Widowed,Bachelor,1,0.3513,1.8345,0.3513,0
60,59076,Freelancer,679.0,248895,133.0,84,5.0,Married,Bachelor,4,0.027,4.2131,0.027,0
21,50459,Business,722.0,231414,713.0,24,14.0,Single,High School,2,0.1696,4.5862,0.1696,0
31,82502,Self-Employed,710.0,180749,3612.0,36,17.0,Divorced,High School,2,0.5254,2.1908,0.5254,0
48,34605,Self-Employed,739.0,18924,1337.0,60,2.0,Married,Bachelor,1,0.4636,0.5469,0.4636,0
45,97513,Salaried,682.0,191069,3828.0,120,13.0,Single,Bachelor,4,0.4711,1.9594,0.4711,0
43,91129,Business,688.0,398718,,60,,Married,Bachelor,2,0.0188,4.3753,0.0188,0
51,34299,Salaried,578.0,151325,772.0,120,4.0,Married,Bachelor,0,0.2701,4.4119,0.2701,0
50,60474,Business,604.0,280223,2567.0,48,6.0,Divorced,Bachelor,2,0.5094,4.6338,0.5094,0
62,59771,Self-Employed,485.0,248581,740.0,24,7.0,Married,Bachelor,1,0.1486,4.1589,0.1486,0
55,10000,Unemployed,716.0,12703,463.0,60,13.0,Single,High School,0,0.5556,1.2703,0.5556,0
27,43207,Salaried,,113319,45.0,60,5.0,Married,Master,1,0.0125,2.6227,0.0125,0
36,105414,Business,525.0,259095,4052.0,48,0.0,Married,High School,3,0.4613,2.4579,0.4613,0
46,10000,Self-Employed,735.0,27501,12.0,120,6.0,Single,Master,2,0.0144,2.7501,0.0144,0
22,10000,Freelancer,,31546,175.0,48,12.0,Married,Bachelor,2,0.21,3.1546,0.21,0
